      0.300444389   -0.0593929272    0.0337863787     0.646589216 10000
      -1.55400367    0.0200071985   -0.0117552876    -0.228755565 01000
  -0.000528794965    -0.791342307      0.29938468 -0.000993213991 00100
    0.00083699332      1.67205632     -1.89703539   0.00147870403 00010
      0.383996013    0.0940276662    0.0136984263     0.983813337 00001
     -0.603091676     0.161941874   -0.0947770637     -1.33693725 20000
       3.24683337    -0.819491796     0.516948536      9.18926899 11000
     -0.611332719   -0.0352505756    -0.139508138     -1.81036272 02000
     0.0393290711      3.90357032    -0.752658442    0.0663594151 10100
     -0.196469997     -2.25743756     0.482452831     -0.32263078 01100
   -0.00291370491    0.0345249418  -0.00868563625     0.014865092 00200
     -0.149267549     -39.7656931      7.47902527    -0.238142965 10010
       0.63758712      16.8177725     -2.95822773     0.980120734 01010
     0.0679523232    0.0933032943   0.00811436326     0.059063658 00110
      -2.61974973      12.4223715     -2.63526663     -4.39044964 10001
       7.84479351     -51.3969254      10.6942138      19.2114107 01001
       5.83534179       8.3773778     -1.08518779       10.729794 00101
     -0.352706987    -0.435062838     0.036407725   -0.0411303759 00020
      -4.17293849     -56.7842267      10.4137984     -5.18838429 00011
       8.78457786       34.314044     -5.94062814      19.0263606 00002
       4.38529815    -0.272914763     0.466408136      8.74005189 30000
      -40.6356355      2.43487564     -4.42369154     -89.6891544 21000
       107.157211     -8.27590825       12.393709      274.029364 12000
      -66.0901704      13.4055375     -9.30867654     -183.774897 03000
      0.171203523     -8.65231444      1.71279098     0.302344594 20100
     -0.505087811      27.1207466     -5.01145247     -0.63127809 11100
     -0.346733002      49.9190409     -10.5758324     -2.14447812 02100
       3.27142371      1.71544674   -0.0336196307      6.06290193 10200
      -16.0293654     -12.5211074     0.998613471     -30.9151807 01200
    -0.0483831305     -3.63127802      0.67319823   -0.0787688162 00300
       2.13543404      156.325714     -30.2096105       3.9586255 20010
      -12.9664378     -883.171008      166.434698     -24.6453957 11010
         9.376207      867.648702     -161.003328      22.4946068 02010
      -21.5848366      1.60988329     -2.46374668     -47.5302901 10110
       101.524258      9.89635275      7.43790467      241.105496 01110
     -0.248382617      83.1551645     -15.6155116   0.00445984862 00210
       20.0655293     -94.4492241      20.3467264      32.9112046 20001
      -125.940561      505.954694     -109.637405     -231.364668 11001
       159.471274     -634.052726       136.23292      355.134727 02001
       -4.0635286      7.54043093     -1.70697791     -8.19003997 10101
      -87.2851389     -137.004459       18.573671     -174.567693 01101
        6.9203838     -41.9265533      8.92512094      13.9613378 00201
        80.335775     -24.2062988      13.1376967      211.732429 10020
      -386.422214      118.876355     -60.2446312     -1065.19257 01020
     -0.272306261     -851.083957      161.062802     -2.92415906 00120
        55.701647      336.784016     -60.0404869      155.675556 10011
       227.798259     -857.805848      185.347032       470.62182 01011
      -56.4695171      369.153394     -78.7025679     -91.9261798 00111
       391.440571      -60.557053      50.0920742      794.752403 10002
      -1705.71962      469.557556     -255.525152     -3542.03999 01002
      -78.7414022       100.21024     -28.8038666      -182.46236 00102
       4.05676888      2991.32381     -568.853398      11.0132434 00030
       89.3049865     -2360.55029      470.194851      99.2459547 00021
       493.724419      4517.69111     -808.344073      1224.29793 00012
       66.5074577      151.828745     -23.6144243      86.3182902 00003
      -33.4867342     -2.38467797     -2.49935938     -60.8817388 40000
       400.213188      20.7106155      32.1067434      765.089322 31000
      -1631.34999     -28.4135258     -144.767606      -3321.3697 22000
       2563.81276     -132.927414      264.459596      5587.18359 13000
      -1222.22465       269.92801     -161.607343     -2554.95037 04000
      -2.28369726     -46.3754002      8.72360032     -3.64306824 30100
       8.02518612      533.306928     -102.468889      8.57218468 21100
      -1.06301618      -1888.7102      365.261623      17.3851643 12100
        46.960526      1847.77262     -348.169919      74.9975935 03100
      -18.1623425     -2.76300302     -0.98767507     -30.7051906 20200
       61.4608174     -27.1001752      10.2332457       113.00218 11200
       122.421226      254.841066     -38.1815865       173.66487 02200
      -2.45582386      2.72704424    -0.616328496      -3.3939221 10300
        10.440417      54.7679548     -9.99685174       15.185925 01300
     0.0203662884      6.51044907     -1.22908808     0.561760454 00400
      -1.84037891     -226.373809      45.4324042     -3.20474948 30010
       86.3850792      1574.91753      -302.49237      169.912668 21010
      -351.494436     -2114.84381      363.422856     -717.091357 12010
       149.379436     -74.4165262      19.1844889      272.281741 03010
       185.562213      30.5493032      10.2184324        327.1528 20110
      -918.031009     -223.399857     -38.4218886     -1871.28787 11110
       209.360533     -680.129451      159.401094      1369.30372 02110
       7.79501679     -338.845671      64.1335302      10.1595648 10210
      -34.0884247      426.291959     -77.3185683     -60.1771267 01210
        2.8669592     -79.7477184      15.3050087     -4.87011555 00310
       -47.876317     -3.73924665     -3.74411639     -65.4203591 30001
       359.635189      87.2872048      18.3185367       497.57887 21001
      -147.654132     -137.838486     -1.41062978     -221.493873 12001
      -1221.12747      2458.55019      -567.53074     -1911.85646 03001
       55.7078517     -35.1867502      11.1553756      104.582909 20101
       -625.19901      511.501363     -156.870269     -1303.55848 11101
       1617.79966       22.735067      147.613198      3543.60954 02101
      -47.4881834      206.131314     -44.2878938     -51.1072308 10201
        2.4879663      -719.34476      139.190834     -27.5001322 01201
       19.5441232     -60.5261719      13.4598864       52.637101 00301
      -395.136286      153.941982     -67.4111565      -743.11268 20020
       2699.68398     -906.508933      437.513389      6314.37722 11020
      -4220.50719      1229.38849     -704.221089     -13428.7855 02020
       32.2504491      3117.32687     -588.716018      73.1013944 10120
      -133.863838     -8464.98216       1552.5418     -159.783647 01120
      -22.5630168      394.348937     -75.0176734      38.7172762 00220
      -249.913015     -947.420978      162.735312     -464.231311 20011
       454.715471      3.13825323      44.2726008      953.276594 11011
       418.560015      195.261364     -3.14998401      764.329959 02011
        211.20906     -2449.85956      485.901057      265.867092 10111
       63.7644963      2214.25288     -418.173314      1.24441195 01111
